Data Category,Data Type,Description,Backend Endpoint,Source API (External),NSE Update Frequency,Current Cache Status,Current TTL,Recommended TTL,User Specific?,Shared Across Users?,Priority
Real-time Data,Stock Prices,Current stock price (LTP),/market-data/candles,YFinance API (yfinance Python library),Every 1-5 seconds,✅ Cached,30 sec,30 sec,No,Yes,High
Real-time Data,Market Pulse Screener,Market overview filters,/market-pulse/screener,NSE + Database,Every 30 seconds,✅ Cached,30 sec,30 sec,No,Yes,High
Real-time Data,Indices (NIFTY/SENSEX),Index values and movements,/nse/indices,https://www.nseindia.com/api/allIndices,Every 1 minute,❌ NOT CACHED,None,30-60 sec,No,Yes,CRITICAL
Real-time Data,All Indices,All market indices,/nse/all-indices,https://www.nseindia.com/api/allIndices,Every 1 minute,❌ NOT CACHED,None,30-60 sec,No,Yes,High
Intraday Charts,Candle Data (5 min),5-minute candlestick data,/market-data/candles?interval=5m,YFinance API ({symbol}.NS),Every 5 minutes,✅ Cached,60 sec,60 sec,No,Yes,High
Intraday Charts,Candle Data (15 min),15-minute candlestick data,/market-data/candles?interval=15m,YFinance API ({symbol}.NS),Every 15 minutes,✅ Cached,120 sec,120 sec,No,Yes,Medium
Intraday Charts,Candle Data (1 day),Daily candlestick data,/market-data/candles?interval=1d,YFinance API ({symbol}.NS),Once per day (EOD),✅ Cached,600 sec,600 sec,No,Yes,Medium
Market Movers,Top Gainers,Stocks with highest % gain,/nse/top-gainers,https://www.nseindia.com/api/equity-stockIndices?index=NIFTY%2050,Every 5-15 minutes,✅ Cached,300 sec,300 sec,No,Yes,High
Market Movers,Top Losers,Stocks with highest % loss,/nse/top-losers,https://www.nseindia.com/api/equity-stockIndices?index=NIFTY%2050,Every 5-15 minutes,✅ Cached,300 sec,300 sec,No,Yes,High
Market Movers,Most Active (Value),Stocks with highest turnover,/nse/most-active-value,https://www.nseindia.com/api/live-analysis-most-active-securities?index=value,Every 5-15 minutes,❌ NOT CACHED,None,120-300 sec,No,Yes,CRITICAL
Market Movers,Most Active (Volume),Stocks with highest volume,/nse/most-active-volume,https://www.nseindia.com/api/live-analysis-most-active-securities?index=volume,Every 5-15 minutes,❌ NOT CACHED,None,120-300 sec,No,Yes,CRITICAL
Market Movers,52-Week High,Stocks at 52-week high,/nse/52-week-high,https://www.nseindia.com/api/live-analysis-variations?index=gainers,Daily (updates EOD),❌ NOT CACHED,None,300-600 sec,No,Yes,CRITICAL
Market Movers,52-Week Low,Stocks at 52-week low,/nse/52-week-low,https://www.nseindia.com/api/live-analysis-variations?index=gainers,Daily (updates EOD),❌ NOT CACHED,None,300-600 sec,No,Yes,CRITICAL
Market Movers,Weekly Gainers,Top performers in the week,/nse/weekly-gainers,Computed from YFinance historical data,Daily,✅ Cached,300 sec,300 sec,No,Yes,Medium
Market Movers,NIFTY Contributors,NIFTY 50 constituent stocks,/nse/nifty-contributors,https://www.nseindia.com/api/equity-stockIndices?index=NIFTY%2050,Every 5-15 minutes,❌ NOT CACHED,None,120-300 sec,No,Yes,Medium
Institutional Data,FII/DII Activity,Foreign/Domestic inst. activity,/nse/fii-dii-activity,https://www.nseindia.com/api/fiidiiTradeReact,Daily (EOD),✅ Cached,600 sec,600-1800 sec,No,Yes,Low
Institutional Data,Bulk Deals,Large bulk trades,/nse/bulk-deals,https://www.nseindia.com/api/snapshot/capital-market/bulk-block-deals,Daily (EOD),⚠️ No Cache,None,300-600 sec,No,Yes,Medium
Institutional Data,Block Deals,Large block trades,/nse/block-deals,https://www.nseindia.com/api/snapshot/capital-market/bulk-block-deals,Daily (EOD),⚠️ No Cache,None,300-600 sec,No,Yes,Medium
Institutional Data,Block Activity,Bulk/block deal tracker,/market-pulse/block-activity,Database (from bulk-deals endpoint),Daily (EOD),✅ Cached,30 sec,300-600 sec,No,Yes,Medium
Market Pulse,Volume Surge,Stocks with volume >2x avg,/market-pulse/volume-surge,Database + NSE data,Every 30 seconds,✅ Cached,30 sec,60-120 sec,No,Yes,Medium
Market Pulse,Delivery Leaders,High delivery % stocks,/market-pulse/delivery-leaders,Database + NSE data,Every 30 seconds,✅ Cached,30 sec,60-120 sec,No,Yes,Medium
Market Pulse,Daily Summary,EOD market pulse summary,/market-pulse/daily-summary,Database (computed),Daily (EOD),❌ No Cache,None,3600 sec,No,Yes,Low
Sector Data,Sector Heatmap,Performance of market sectors,/nse/sector/heatmap,https://www.nseindia.com/api/allIndices,Every 15-30 minutes,✅ Cached,300 sec,300 sec,No,Yes,Medium
Sector Data,Sector Stocks,List of stocks in each sector,/nse/sector/{name}/stocks,https://www.nseindia.com/api/equity-stockIndices?index={sector},Rarely changes,✅ Cached,300 sec,1800-3600 sec,No,Yes,Low
